id,name,region,type,area
1601000,Алейский,Алтайский край,Муниципальный район,"3389,63"
1602000,Алтайский,Алтайский край,Муниципальный район,"3472,58"
1603000,Баевский,Алтайский край,Муниципальный район,"2738,84"
1604000,Бийский,Алтайский край,Муниципальный район,"2129,26"
1605000,Благовещенский,Алтайский край,Муниципальный район,"3694,58"
1606000,Бурлинский,Алтайский край,Муниципальный район,"2745,05"
1607000,Быстроистокский,Алтайский край,Муниципальный район,"1963,8"
1608000,Волчихинский,Алтайский край,Муниципальный район,"3567,43"
1609000,Егорьевский,Алтайский край,Муниципальный район,"2469,88"
1610000,Ельцовский,Алтайский край,Муниципальный район,"2157,42"
1611000,Завьяловский,Алтайский край,Муниципальный район,"2220,06"
1617000,Ключевский,Алтайский край,Муниципальный район,"3057,41"
1613000,Заринский,Алтайский край,Муниципальный район,"5108,05"
1622000,Кулундинский,Алтайский край,Муниципальный район,"1985,77"
1615000,Калманский,Алтайский край,Муниципальный район,"1779,83"
10712000,город Зея,Амурская область,Городской округ,"45,61"
1616000,Каменский,Алтайский край,Муниципальный район,"3669,16"
1618000,Косихинский,Алтайский край,Муниципальный район,"1882,71"
1621000,Крутихинский,Алтайский край,Муниципальный район,"2056,16"
1619000,Красногорский,Алтайский край,Муниципальный район,"3072,64"
1620000,Краснощековский,Алтайский край,Муниципальный район,"3540,54"
1623000,Курьинский,Алтайский край,Муниципальный район,"2466,44"
1624000,Кытмановский,Алтайский край,Муниципальный район,"2547,77"
1625000,Локтевский,Алтайский край,Муниципальный район,"2344,14"
1626000,Мамонтовский,Алтайский край,Муниципальный район,"2305,1"
1627000,Михайловский,Алтайский край,Муниципальный район,"3092,01"
1628000,Новичихинский,Алтайский край,Муниципальный район,"1875,99"
1629000,Зональный,Алтайский край,Муниципальный район,"1624,94"
1630000,Павловский,Алтайский край,Муниципальный район,"2191,93"
1631000,Панкрушихинский,Алтайский край,Муниципальный район,"2786,87"
1632000,Первомайский,Алтайский край,Муниципальный район,"3608,11"
1633000,Петропавловский,Алтайский край,Муниципальный район,"1511,87"
1634000,Поспелихинский,Алтайский край,Муниципальный район,"2412,49"
1635000,Ребрихинский,Алтайский край,Муниципальный район,"2702,32"
1636000,Родинский,Алтайский край,Муниципальный район,"3152,73"
1637000,Романовский,Алтайский край,Муниципальный район,"2151,37"
77701000,Анадырь,Чукотский автономный округ,Городской округ,"21,39"
1638000,Рубцовский,Алтайский край,Муниципальный район,"3297,92"
1642000,Советский,Алтайский край,Муниципальный район,"1559,88"
